Cruise No.,Cast where bottle chl-a is recorded,Depth of Chlorophyll Maximum (dbar)*,,,,*Calculated as average of the maxima from each cast on that cruise.
277,nan,nan,,,,
278,4,7,,,,
279,6,94,,,,
280,5,96,,,,
281,6,96,,,,
282,6,98,,,,
283,8,73,,,,
284,7,101,,,,
285,5,123,,,,
286,6,79,,,,
287,5,56,,,,
288,6,58,,,,
289,5,94,,,,
290,5,47,,,,
291,7,24,,,,
292,7,49,,,,
293,5,92,,,,
294,3,106,,,,
295,5,111,,,,
296,6,121,,,,
297,5,99,,,,
298,6,77,,,,
299,5,87,,,,
300,4,85,,,,
301,"82, 6",77,"nan, 77",,,
302,"7, 17",82,"77, 87",,,
303,5,106,,,,
304,8,77,,,,
305,9,96,,,,
306,7,124,,,,
307,8,128,,,,
308,16,88,,,,
309,8,147,,,,
310,6,104,,,,
311,9,18,,,,
312,8,100,,,,
313,5,91,,,,
314,7,85,,,,
315,8,105,,,,
316,12,117,,,,
317,19,80,,,,
318,11,110,,,,
319,3,80,,,,
320,6,95,,,,
321,5,123,,,,
322,6,82,,,,
323,8,141,,,,
324,17,111,,,,
325,10,130,,,,
326,9,129,,,,
327,13,111,,,,
328,11,134,,,,
329,7,128,,,,
330,11,99,,,,
331,11,114,,,,
332,12,89,,,,
333,7,79,,,,
334,9,79,,,,
335,10,98,,,,
336,10,93,,,,
337,12,113,,,,
338,11,115,,,,
339,7,111,,,,
340,6,99,,,,
341,12,94,,,,
342,11,132,,,,
343,9,65,,,,
344,10,99,,,,
345,5,24,,,,
346,6,75,,,,
347,12,111,,,,
348,13,77,,,,
349,17,108,,,,
350,12,130,,,,
351,12,96,,,,
352,17,133,,,,
353,12,58,,,,
354,16,120,,,,
355,13,56,,,,
356,14,66,,,,
357,"11, 12",87,"83, 91",,,
358,20,90,,,,
359,15,147,,,,
360,15,114,,,,
361,17,101,,,,
362,15,86,,,,
363,18,105,,,,
364,17,109,,,,
365,14,83,,,,
366,17,94,,,,
367,13,89,,,,
368,11,75,,,,
369,12,143,,,,
